coord,weather,base,main,wind,rain,clouds,dt,sys,timezone,id,name,cod
"{'lon': -69.36, 'lat': 77.48}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 7.81, 'pressure': 1027, 'humidity': 38, 'temp_min': 7.81, 'temp_max': 7.81, 'sea_level': 1027, 'grnd_level': 986}","{'speed': 10.09, 'deg': 72}",,{'all': 43},1571760196,"{'country': 'GL', 'sunrise': 1571752655, 'sunset': 1571769959}",-10800,3831208,Qaanaaq,200
"{'lon': 34.34, 'lat': 66.69}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 38.1, 'pressure': 993, 'humidity': 93, 'temp_min': 38.1, 'temp_max': 38.1, 'sea_level': 993, 'grnd_level': 992}","{'speed': 18.72, 'deg': 179}",{'3h': 0.25},{'all': 100},1571759896,"{'country': 'RU', 'sunrise': 1571720634, 'sunset': 1571752209}",10800,479071,Umba,200
"{'lon': 26.89, 'lat': -33.59}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 61, 'pressure': 1011, 'humidity': 65, 'temp_min': 61, 'temp_max': 61}","{'speed': 8.99, 'deg': 67, 'gust': 17}",,{'all': 81},1571760197,"{'type': 3, 'id': 2011314, 'country': 'ZA', 'sunrise': 1571714596, 'sunset': 1571761822}",7200,964432,Port Alfred,200
"{'lon': 65.42, 'lat': 28.58}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 79.75, 'pressure': 1014, 'humidity': 17, 'temp_min': 79.75, 'temp_max': 79.75, 'sea_level': 1014, 'grnd_level': 931}","{'speed': 5.64, 'deg': 43}",,{'all': 0},1571760197,"{'country': 'PK', 'sunrise': 1571708574, 'sunset': 1571749352}",18000,1174062,Kharan,200
"{'lon': -6.55, 'lat': 41.42}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 58.08, 'pressure': 1012, 'humidity': 44, 'temp_min': 58.08, 'temp_max': 58.08, 'sea_level': 1012, 'grnd_level': 937}","{'speed': 11.59, 'deg': 35}",,{'all': 30},1571760197,"{'country': 'PT', 'sunrise': 1571726719, 'sunset': 1571765749}",3600,2737599,Saldanha,200
"{'lon': 168.86, 'lat': -46.19}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 42.01, 'pressure': 1008, 'humidity': 79, 'temp_min': 42.01, 'temp_max': 42.01}","{'speed': 8.01, 'deg': 213, 'gust': 14}",{'3h': 0.38},{'all': 58},1571760198,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1571765789, 'sunset': 1571815273}",46800,6201424,Mataura,200
"{'lon': 22.13, 'lat': -30.97}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",model,"{'temp': 75.25, 'pressure': 1003, 'humidity': 12, 'temp_min': 75.25, 'temp_max': 75.25, 'sea_level': 1003, 'grnd_level': 862}","{'speed': 19.06, 'deg': 285}",,{'all': 40},1571760198,"{'country': 'ZA', 'sunrise': 1571715917, 'sunset': 1571762787}",7200,1014034,Carnarvon,200
"{'lon': -67.52, 'lat': -46.43}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",model,"{'temp': 55.83, 'pressure': 1019, 'humidity': 36, 'temp_min': 55.83, 'temp_max': 55.83, 'sea_level': 1019, 'grnd_level': 1008}","{'speed': 8.88, 'deg': 63}",,{'all': 0},1571760199,"{'country': 'AR', 'sunrise': 1571736130, 'sunset': 1571785600}",-10800,3863379,Mar del Plata,200
"{'lon': 161.3, 'lat': 68.75}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 2.35, 'pressure': 1026, 'humidity': 86, 'temp_min': 2.35, 'temp_max': 2.35, 'sea_level': 1026, 'grnd_level': 1024}","{'speed': 9.66, 'deg': 145}",,{'all': 97},1571760200,"{'country': 'RU', 'sunrise': 1571777407, 'sunset': 1571807284}",39600,2126199,Cherskiy,200
"{'lon': 74.49, 'lat': 15.34}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",model,"{'temp': 69.19, 'pressure': 1010, 'humidity': 97, 'temp_min': 69.19, 'temp_max': 69.19, 'sea_level': 1010, 'grnd_level': 935}","{'speed': 3.31, 'deg': 232}",,{'all': 96},1571760200,"{'country': 'IN', 'sunrise': 1571705701, 'sunset': 1571747872}",19800,1273574,Vaini,200
